eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
nan,nan,2949120,0.0,0.0,17.439513105154038,0.7302749305497855,90,0.00024528688524590164,1001.0,-211.242525304451,32,4.333556973189116,2.873533276282251,8.424059867858887,8.424059867858887,8.424059867858887,8.424059867858887,9344.501730918884
nan,nan,2981888,0.0,0.0,17.427719631791113,0.7358762869145721,91,0.00024467213114754094,1001.0,-202.58904937269392,32,4.323317562043667,3.2734888274222613,7.409454822540283,7.409454822540283,7.409454822540283,7.409454822540283,9370.868979215622
nan,nan,3014656,0.0,0.0,17.427929151058198,0.7849024558905512,92,0.00024405737704918031,1001.0,-201.068083316436,32,4.329303223639727,3.1217693822458386,7.587693214416504,7.587693214416504,7.587693214416504,7.587693214416504,9396.85482096672
nan,nan,3047424,0.0,0.0,17.44863677918911,0.739700357010588,93,0.00024344262295081966,1001.0,-209.3412774382117,32,4.327662543952465,2.8111252879723905,8.671223640441895,8.671223640441895,8.671223640441895,8.671223640441895,9422.647346019745
nan,nan,3080192,0.0,0.0,17.41275323033333,0.7386310572270304,94,0.000242827868852459,1001.0,-212.23447787308058,32,4.336456710845232,2.4187519876286387,8.743202209472656,8.743202209472656,8.743202209472656,8.743202209472656,9448.46698141098
nan,nan,3112960,0.0,0.0,17.451072949171067,0.7365588753018528,95,0.00024221311475409833,1001.0,-210.8424947492748,32,4.33767689615488,2.813951234146953,8.346055030822754,8.346055030822754,8.346055030822754,8.346055030822754,9474.919977664948
nan,nan,3145728,0.0,0.0,17.45658273398876,0.7292907378170639,96,0.00024159836065573768,1001.0,-207.30774610078282,32,4.337462820112705,2.9915453920140864,8.060420036315918,8.060420036315918,8.060420036315918,8.060420036315918,9501.861648797989
nan,nan,3178496,0.0,0.0,17.41816551089287,0.7374036666937173,97,0.00024098360655737703,1001.0,-196.55123333549943,32,4.32536669075489,3.575898088887334,6.924689769744873,6.924689769744873,6.924689769744873,6.924689769744873,9528.171432495117
nan,nan,3211264,0.0,0.0,17.41975920200348,0.7585101481061429,98,0.00024036885245901638,1001.0,-201.22553156187868,32,4.330181211233139,2.649014467000961,7.989644527435303,7.989644527435303,7.989644527435303,7.989644527435303,9554.540469646454
nan,nan,3244032,0.0,0.0,17.439572659134864,0.7532996149268001,99,0.00023975409836065573,1001.0,-194.84866253766884,32,4.337842675298452,2.804807829670608,8.100546836853027,8.100546836853027,8.100546836853027,8.100546836853027,9580.679779291153
nan,nan,3276800,0.0,0.0,17.414747262001036,0.736165626021102,100,0.00023913934426229505,1001.0,-202.8143346948258,32,4.3274576514959335,2.1134018069133162,8.842392921447754,8.842392921447754,8.842392921447754,8.842392921447754,9606.335720300674
nan,nan,3309568,0.0,0.0,17.440546679496766,0.7479198238346726,101,0.0002385245901639344,1001.0,-201.3330187253654,32,4.327524745464325,2.2400206107646228,7.7640533447265625,7.7640533447265625,7.7640533447265625,7.7640533447265625,9632.131136655807
nan,nan,3342336,0.0,0.0,17.430728951096533,0.7507149044889957,102,0.00023790983606557375,1001.0,-196.64952769010497,32,4.328217167407274,2.538297980092466,7.786581993103027,7.786581993103027,7.786581993103027,7.786581993103027,9658.013979434967
nan,nan,3375104,0.0,0.0,17.43640680015087,0.762005376489833,103,0.00023729508196721307,1001.0,-192.55311070655375,32,4.3300258129835125,2.1595982757396994,8.181084632873535,8.181084632873535,8.181084632873535,8.181084632873535,9684.40458703041
nan,nan,3407872,0.0,0.0,17.430801326036452,0.763031062623486,104,0.00023668032786885242,1001.0,-198.5058843856757,32,4.331904327124358,1.9523945395834743,8.262312889099121,8.262312889099121,8.262312889099121,8.262312889099121,9710.234117031097
nan,nan,3440640,0.0,0.0,17.43676648736,0.7610325802117586,105,0.00023606557377049177,1001.0,-198.67441050884713,32,4.331962132453919,2.462073058448732,8.059231758117676,8.059231758117676,8.059231758117676,8.059231758117676,9736.747661113739
nan,nan,3473408,0.0,0.0,17.450724548101427,0.7538226756732911,106,0.00023545081967213112,1001.0,-192.19761110720944,32,4.331238009035587,2.4810305777937174,7.999162673950195,7.999162673950195,7.999162673950195,7.999162673950195,9762.696440935135
